,0
507,518
508,349
509,1567
510,2069
511,1122
512,216
513,1451
514,2614
515,1501
516,1095
517,510
518,1794
519,2336
520,713
521,45
522,1809
523,845
524,622
525,2498
526,790
527,2295
528,885
529,2146
530,1694
531,2790
532,1190
533,2533
534,2357
535,1955
536,1314
537,1875
538,991
539,1621
540,696
541,810
542,2630
543,2799
544,2240
545,1241
546,113
547,1523
548,1618
549,603
550,1590
551,1561
552,1572
553,2071
554,1237
555,1432
556,18
557,2755
558,2222
559,2329
560,1416
561,1442
562,2208
563,232
564,1989
565,60
566,2953
567,1020
568,2573
569,1335
570,1005
571,1234
572,1154
573,2264
574,1427
575,986
576,1573
577,2879
578,2502
579,2333
580,1996
581,1119
582,2028
583,1216
584,1421
585,2085
586,1923
587,2448
588,2444
589,2941
590,2662
591,73
592,2886
593,2806
594,1700
595,657
596,2546
597,2541
598,525
599,1835
600,770
601,2471
602,1586
603,1745
604,1114
605,2870
606,2178
607,1042
608,971
609,1052
610,1378
611,1595
612,605
613,830
614,1038
615,505
616,849
617,2798
618,1654
619,428
620,1594
621,1412
622,66
623,2111
624,2340
625,1761
626,593
627,742
628,1402
629,2651
630,877
631,695
632,2073
633,77
634,1608
635,2223
636,2308
637,2158
638,1268
639,1885
640,672
641,1272
642,425
643,1717
644,1731
645,1610
646,363
647,23
648,1149
649,880
650,2075
651,1544
652,1991
653,1475
654,775
655,588
656,1987
657,2228
658,1391
659,2140
660,503
661,190
662,2392
663,2686
664,286
665,325
666,2683
667,2825
668,774
669,905
670,2246
671,1851
672,1079
673,214
674,704
675,2094
676,2088
677,1540
678,79
679,1502
680,1405
681,1012
682,1506
683,628
684,1833
685,2332
686,1367
687,767
688,2766
689,1641
690,884
691,2897
692,691
693,1157
694,1562
695,2379
696,945
697,2826
698,803
699,2497
700,2181
701,224
702,311
703,361
704,2182
705,1591
706,2510
707,2433
708,519
709,277
710,2940
711,1693
712,2742
713,189
714,185
715,2127
716,1358
717,1823
718,2410
719,1045
720,408
721,2365
722,267
723,1233
724,597
725,354
726,2256
727,1766
728,2196
729,857
730,1711
731,328
732,1944
733,537
734,1622
735,2671
736,680
737,1357
738,2585
739,1892
740,1690
741,2307
742,2612
743,684
744,2667
745,2589
746,166
747,778
748,2294
749,97
750,445
751,1947
752,1044
753,2315
754,2472
755,547
756,567
757,1299
758,1311
759,2670
760,1286
761,1635
762,2565
763,1939
764,2058
765,658
766,1189
767,2400
768,2561
769,2125
770,1705
771,1395
772,2322
773,358
774,1386
775,715
776,479
777,2728
778,359
779,1360
780,1504
781,776
782,1369
783,1736
784,12
785,826
786,1713
787,1954
788,2350
789,2712
790,2568
791,2597
792,2301
793,338
794,1112
795,1370
796,1376
797,2068
798,2134
799,1529
800,2646
801,264
802,2831
803,2291
804,2735
805,34
806,454
807,376
808,86
809,1440
810,2676
811,2316
812,257
813,2456
814,2190
815,429
816,1973
817,1950
818,143
819,947
820,2021
821,2138
822,1082
823,2216
824,1283
825,1249
826,814
827,49
828,2631
829,241
830,1655
831,2474
832,2000
833,601
834,2536
835,2896
836,123
837,1089
838,1978
839,654
840,2211
841,2161
842,347
843,92
844,423
845,841
846,206
847,2644
848,343
849,2066
850,76
851,689
852,51
853,2917
854,2587
855,1762
856,1609
857,1846
858,2737
859,1868
860,1623
861,446
862,2313
863,242
864,1290
865,346
866,240
867,2300
868,2570
869,1261
870,1113
871,2452
872,2051
873,1400
874,1570
875,968
876,1050
877,1708
878,551
879,1493
880,1417
881,1687
882,1893
883,1545
884,1026
885,2083
886,1287
887,2287
888,2715
889,1720
890,791
891,2370
892,933
893,967
894,1389
895,1661
896,569
897,2470
898,615
899,2269
900,1638
901,28
902,2583
903,1196
904,50
905,879
906,2431
907,842
908,2384
909,642
910,1436
911,451
912,1183
913,1258
914,1932
915,448
916,811
917,2098
918,2243
919,1131
920,860
921,660
922,2065
923,804
924,797
925,2653
926,637
927,1204
928,712
929,720
930,222
931,878
932,644
933,1547
934,2024
935,2010
936,184
937,1452
938,301
939,1047
940,1217
941,2821
942,1852
943,2399
944,1888
945,852
946,495
947,2655
948,788
949,2936
950,2734
951,629
952,2469
953,2020
954,1773
955,2824
956,218
957,2091
958,975
959,207
960,1115
961,2261
962,1133
963,1464
964,2084
965,398
966,1447
967,282
968,1319
969,735
970,621
971,2122
972,370
973,837
974,1072
975,115
976,2516
977,2592
978,1271
979,2553
980,2954
981,995
982,1274
983,2762
984,1826
985,834
986,1355
987,1105
988,1738
989,1998
990,733
991,584
992,324
993,1477
994,2772
995,833
996,375
997,3
998,716
999,2406
1000,2108
1001,193
1002,1903
1003,2358
1004,432
1005,2199
1006,318
1007,1414
1008,2956
1009,1652
1010,2455
1011,1228
1012,296
1013,1096
1014,2477
1015,2881
1016,2117
1017,2887
1018,235
1019,1037
1020,1187
1021,1347
1022,2203
1023,128
1024,871
1025,2800
1026,909
1027,558
1028,2855
1029,1926
1030,2532
1031,2237
1032,669
1033,587
1034,1785
1035,1862
1036,19
1037,2416
1038,275
1039,1728
1040,1393
1041,1752
1042,0
1043,2938
1044,1763
1045,570
1046,2639
1047,1568
1048,1
1049,1789
1050,1099
1051,295
1052,2352
1053,2645
1054,1010
1055,2398
1056,1571
1057,829
1058,1985
1059,2131
1060,895
1061,892
1062,2635
1063,645
1064,2389
1065,917
1066,255
1067,2628
1068,1487
1069,2032
1070,2869
1071,2752
1072,2884
1073,535
1074,851
1075,836
1076,948
1077,1962
1078,925
1079,1068
1080,1651
1081,1148
1082,171
1083,133
1084,2868
1085,1959
1086,1499
1087,1797
1088,1011
1089,1914
1090,1212
1091,2504
1092,714
1093,471
1094,589
1095,134
1096,1323
1097,1792
1098,1463
1099,2193
1100,2136
1101,146
1102,2174
1103,1125
1104,724
1105,1298
1106,215
1107,174
1108,1723
1109,970
1110,2022
1111,1407
1112,1147
1113,1626
1114,2586
1115,1488
1116,902
1117,2386
1118,1184
1119,2383
1120,2703
1121,1292
1122,6
1123,2518
1124,437
1125,326
1126,585
1127,806
1128,1343
1129,234
1130,2642
1131,2519
1132,1490
1133,1016
1134,1305
1135,1780
1136,35
1137,613
1138,278
1139,1468
1140,2835
1141,2281
1142,276
1143,1578
1144,102
1145,2314
1146,2375
1147,407
1148,1356
1149,1683
1150,952
1151,2909
1152,2364
1153,1222
1154,1803
1155,2446
1156,1076
1157,825
1158,1348
1159,1836
1160,1537
1161,1538
1162,179
1163,1925
1164,2911
1165,795
1166,2415
1167,1171
1168,512
1169,848
1170,1091
1171,2706
1172,78
1173,394
1174,1485
1175,846
1176,1696
1177,111
1178,2202
1179,2636
1180,2144
1181,225
1182,1109
1183,2544
1184,1242
1185,1867
1186,1294
1187,911
1188,1186
1189,100
1190,2445
1191,101
1192,2563
1193,978
1194,1743
1195,2055
1196,1640
1197,1470
1198,1491
1199,2577
1200,316
1201,785
1202,2566
1203,40
1204,421
1205,2437
1206,530
1207,853
1208,317
1209,552
1210,891
1211,2239
1212,1581
1213,1974
1214,2005
1215,1253
1216,765
1217,2027
1218,576
1219,2160
1220,2878
1221,2569
1222,1322
1223,1254
1224,202
1225,607
1226,1800
1227,864
1228,1772
1229,2183
1230,2130
1231,2184
1232,1455
1233,2957
1234,805
1235,521
1236,2756
1237,665
1238,1937
1239,11
1240,2845
1241,335
1242,2082
1243,557
1244,1662
1245,2535
1246,2708
1247,38
1248,2395
1249,1613
1250,1900
1251,2414
1252,2463
1253,2036
1254,796
1255,1619
1256,2106
1257,2928
1258,67
1259,772
1260,1834
1261,2525
1262,2425
1263,2485
1264,1219
1265,477
1266,910
1267,2487
1268,2892
1269,2492
1270,2927
1271,75
1272,793
1273,1993
1274,2747
1275,2489
1276,1588
1277,2271
1278,353
1279,2284
1280,2298
1281,2627
1282,54
1283,219
1284,1844
1285,1246
1286,690
1287,550
1288,856
1289,2678
1290,148
1291,686
1292,1995
1293,1629
1294,2859
1295,236
1296,85
1297,389
1298,1474
1299,470
1300,494
1301,2543
1302,1612
1303,2604
1304,1008
1305,1245
1306,2296
1307,131
1308,2649
1309,2891
1310,2449
1311,191
1312,620
1313,157
1314,2505
1315,737
1316,180
1317,824
1318,1793
1319,2550
1320,2961
1321,2517
1322,2388
1323,2838
1324,748
1325,2059
1326,175
1327,2017
1328,1522
1329,2151
1330,867
1331,68
1332,476
1333,217
1334,95
1335,668
1336,1808
1337,1260
1338,579
1339,2080
1340,699
1341,2904
1342,402
1343,2584
1344,64
1345,2201
1346,998
1347,901
1348,727
1349,323
1350,1704
1351,816
1352,1177
1353,709
1354,2619
1355,2520
1356,1361
1357,2356
1358,2306
1359,422
1360,201
1361,2312
1362,2219
1363,533
1364,2600
1365,1227
1366,488
1367,540
1368,2037
1369,16
1370,2668
1371,2965
1372,1549
1373,1035
1374,2808
1375,344
1376,1856
1377,243
1378,2874
1379,2029
1380,1511
1381,2682
1382,1309
1383,1303
1384,2377
1385,1383
1386,2899
1387,337
1388,2185
1389,1670
1390,1215
1391,2640
1392,2070
1393,1675
1394,1664
1395,1790
1396,1879
1397,1539
1398,698
1399,1842
1400,2537
1401,782
1402,1426
1403,1512
1404,1945
1405,1178
1406,388
1407,1876
1408,124
1409,2942
1410,2103
1411,1476
1412,604
1413,2770
1414,1259
1415,1748
1416,993
1417,564
1418,2170
1419,259
1420,2225
1421,1198
1422,453
1423,1735
1424,2086
1425,464
1426,1943
1427,756
1428,169
1429,1029
1430,2947
1431,2148
1432,1722
1433,2275
1434,1967
1435,1620
1436,2482
1437,781
1438,1340
1439,1911
1440,1845
1441,2210
1442,1352
1443,2493
1444,2479
1445,2509
1446,37
1447,1301
1448,1909
1449,2361
1450,717
1451,1712
1452,1510
1453,144
1454,1965
1455,1446
1456,2697
1457,1830
1458,227
1459,1508
1460,387
1461,167
1462,757
1463,1543
1464,2095
1465,881
1466,2289
1467,1081
1468,2949
1469,1179
1470,1941
1471,2408
1472,1337
1473,348
1474,2554
1475,2259
1476,2531
1477,2680
1478,1331
1479,673
1480,2328
1481,1342
1482,1676
1483,2674
1484,2552
1485,2374
1486,681
1487,258
1488,2781
1489,2220
1490,2650
1491,610
1492,2839
1493,32
1494,2763
1495,2120
1496,2739
1497,976
1498,779
1499,1869
1500,2451
1501,1855
1502,2309
1503,2330
1504,2579
1505,2963
1506,1698
1507,2745
1508,1085
1509,1384
1510,1028
1511,1637
1512,2522
1513,2422
1514,496
1515,916
1516,183
1517,924
1518,417
1519,1917
1520,426
1521,2008
1522,1320
1523,987
1524,1142
1525,1515
1526,2511
1527,303
1528,396
1529,263
1530,230
1531,2641
1532,921
1533,1321
1534,2718
1535,893
1536,2231
1537,578
1538,1739
1539,2490
1540,362
1541,563
1542,2132
1543,809
1544,898
1545,385
1546,2819
1547,942
1548,1992
1549,614
1550,746
1551,951
1552,404
1553,2760
1554,2331
1555,734
1556,2647
1557,197
1558,1046
1559,2169
1560,595
1561,586
1562,70
1563,1643
1564,2817
1565,1816
1566,949
1567,2476
1568,1121
1569,411
1570,2578
1571,2594
1572,1056
1573,1144
1574,56
1575,1801
1576,2200
1577,1240
1578,2753
1579,1751
1580,2349
1581,1296
1582,920
1583,1528
1584,2168
1585,2006
1586,497
1587,1185
1588,1263
1589,1289
1590,2438
1591,1071
1592,764
1593,2778
1594,2893
1595,1200
1596,1193
1597,2714
1598,1084
1599,1503
1600,1814
1601,1755
1602,1649
1603,72
1604,366
1605,868
1606,2716
1607,1754
1608,2933
1609,2491
1610,1657
1611,1750
1612,1889
1613,1557
1614,2229
1615,461
1616,1725
1617,1251
1618,771
1619,2337
1620,1625
1621,27
1622,1001
1623,2464
1624,2749
1625,305
1626,575
1627,2154
1628,2459
1629,1162
1630,2786
1631,2616
1632,743
1633,266
1634,2427
1635,685
1636,203
1637,1387
1638,1411
1639,863
1640,950
1641,2258
1642,176
1643,1542
1644,1710
1645,618
1646,2236
1647,1701
1648,897
1649,2779
1650,1413
1651,1546
1652,822
1653,2235
1654,2625
1655,1127
1656,749
1657,410
1658,2001
1659,1806
1660,280
1661,1453
1662,1908
1663,2780
1664,638
1665,1388
1666,531
1667,1277
1668,221
1669,1334
1670,2823
1671,1740
1672,752
1673,982
1674,2558
1675,2602
1676,818
1677,1840
1678,2072
1679,1881
1680,499
1681,960
1682,2411
1683,2507
1684,887
1685,90
1686,1642
1687,2890
1688,252
1689,2348
1690,1860
1691,2102
1692,204
1693,983
1694,135
1695,1379
1696,2007
1697,1901
1698,1269
1699,2045
1700,736
1701,2376
1702,1746
1703,2664
1704,2677
1705,2958
1706,2323
1707,465
1708,2152
1709,1912
1710,1719
1711,2191
1712,602
1713,69
1714,2661
1715,1902
1716,1859
1717,1822
1718,2920
1719,1533
1720,118
1721,2759
1722,1630
1723,87
1724,718
1725,1060
1726,2915
1727,2207
1728,988
1729,741
1730,2226
1731,652
1732,1599
1733,2908
1734,2924
1735,170
1736,1345
1737,1239
1738,1564
1739,700
1740,1325
1741,843
1742,1302
1743,2741
1744,1961
1745,1550
1746,474
1747,2290
1748,1439
1749,2420
1750,2840
1751,330
1752,2595
1753,1928
1754,1090
1755,2564
1756,1205
1757,2955
1758,1940
1759,1353
1760,1175
1761,2556
1762,2723
1763,2380
1764,2115
1765,10
1766,2165
1767,457
1768,1281
1769,819
1770,2555
1771,2736
1772,2771
1773,2775
1774,1201
1775,2302
1776,2150
1777,1375
1778,2793
1779,1611
1780,500
1781,2523
1782,821
1783,1764
1784,2486
1785,2353
1786,913
1787,2156
1788,1580
1789,1634
1790,9
1791,962
1792,307
1793,5
1794,493
1795,938
1796,2861
1797,1525
1798,1969
1799,1410
1800,2692
1801,463
1802,1796
1803,2704
1804,2930
1805,1151
1806,2934
1807,1981
1808,1592
1809,443
1810,52
1811,1718
1812,1647
1813,1366
1814,2807
1815,630
1816,616
1817,507
1818,392
1819,2114
1820,1563
1821,1526
1822,1935
1823,2285
1824,1920
1825,1849
1826,1819
1827,861
1828,2268
1829,2369
1830,955
1831,900
1832,487
1833,1812
1834,1362
1835,1518
1836,677
1837,2048
1838,55
1839,2250
1840,125
1841,1895
1842,2413
1843,1958
1844,1124
1845,807
1846,693
1847,1576
1848,2719
1849,2360
1850,697
1851,1695
1852,1498
1853,2729
1854,543
1855,1396
1856,946
1857,963
1858,2626
1859,721
1860,574
1861,1478
1862,2116
1863,1394
1864,870
1865,2638
1866,199
1867,2902
1868,2816
1869,231
1870,2964
1871,162
1872,2019
1873,789
1874,109
1875,710
1876,339
1877,2354
1878,784
1879,442
1880,671
1881,768
1882,2757
1883,268
1884,462
1885,2801
1886,2454
1887,119
1888,1036
1889,2436
1890,572
1891,2932
1892,486
1893,2310
1894,1225
1895,2092
1896,2039
1897,2249
1898,155
1899,2858
1900,489
1901,2575
1902,1666
1903,2040
1904,1423
1905,2155
1906,2724
1907,984
1908,238
1909,1976
1910,1534
1911,2265
1912,2206
1913,2768
1914,2702
1915,2443
1916,2862
1917,2391
1918,646
1919,1111
1920,2324
1921,1716
1922,2434
1923,1658
1924,2907
1925,419
1926,1031
1927,1333
1928,2962
1929,985
1930,1933
1931,656
1932,866
1933,527
1934,2014
1935,2011
1936,2880
1937,934
1938,2423
1939,2610
1940,1804
1941,2857
1942,1606
1943,2875
1944,1776
1945,504
1946,2234
1947,1317
1948,2139
1949,1408
1950,431
1951,1663
1952,1110
1953,2280
1954,1671
1955,2656
1956,2951
1957,2044
1958,1616
1959,331
1960,1828
1961,2593
1962,1951
1963,1155
1964,904
1965,1424
1966,1252
1967,2679
1968,1129
1969,1786
1970,2387
1971,2613
1972,2854
1973,1946
1974,2195
1975,2545
1976,1065
1977,633
1978,2478
1979,2430
1980,20
1981,538
1982,1930
1983,1435
1984,661
1985,1519
1986,2657
1987,1535
1988,469
1989,327
1990,2378
1991,2049
1992,2342
1993,2288
1994,2767
1995,1159
1996,666
1997,108
1998,2918
1999,798
2000,1757
2001,2372
2002,687
2003,2057
2004,1262
2005,1397
2006,1295
2007,2500
2008,1632
2009,515
2010,1733
2011,1883
2012,2693
2013,1770
2014,926
2015,1767
2016,2081
2017,1064
2018,1075
2019,304
2020,2685
2021,1235
2022,1887
2023,794
2024,2381
2025,1516
2026,1058
2027,2654
2028,2218
2029,2123
2030,1019
2031,33
2032,253
2033,954
2034,2052
2035,1207
2036,2419
2037,1438
2038,1659
2039,1126
2040,1380
2041,1168
2042,612
2043,1460
2044,1172
2045,762
2046,2603
2047,2105
2048,8
2049,2230
2050,751
2051,2648
2052,758
2053,2844
2054,2466
2055,1025
2056,1341
2057,29
2058,2346
2059,683
2060,1462
2061,390
2062,188
2063,973
2064,89
2065,1497
2066,248
2067,1870
2068,1326
2069,1226
2070,923
2071,1059
2072,583
2073,1150
2074,2732
2075,161
2076,256
2077,2787
2078,1180
2079,2254
2080,2526
2081,1771
2082,472
2083,534
2084,2382
2085,738
2086,1324
2087,2198
2088,1223
2089,1775
2090,2696
2091,2776
2092,434
2093,2542
2094,438
2095,1070
2096,815
2097,1907
2098,544
2099,1014
2100,899
2101,1880
2102,957
2103,61
2104,481
2105,2345
2106,83
2107,1313
2108,708
2109,631
2110,516
2111,1230
2112,1863
2113,747
2114,2343
2115,1915
2116,2608
2117,1513
2118,2462
2119,163
2120,2278
2121,2748
2122,1721
2123,2447
2124,559
2125,908
2126,2187
2127,1481
2128,1073
2129,2574
2130,2596
2131,1195
2132,1734
2133,1043
2134,596
2135,844
2136,2180
2137,319
2138,1784
2139,195
2140,1584
2141,2129
2142,2659
2143,1699
2144,2468
2145,414
2146,1170
2147,223
2148,2694
2149,766
2150,2701
2151,2025
2152,506
2153,941
2154,2743
2155,2663
2156,1541
2157,1517
2158,405
2159,2089
2160,2814
2161,722
2162,636
2163,2503
2164,2675
2165,2213
2166,302
2167,1419
2168,147
2169,2026
2170,940
2171,39
2172,293
2173,2506
2174,678
2175,2939
2176,287
2177,936
2178,1135
2179,2898
2180,2738
2181,2788
2182,53
2183,177
2184,526
2185,322
2186,528
2187,592
2188,2033
2189,1002
2190,2299
2191,1779
2192,556
2193,1304
2194,2882
2195,2615
2196,1100
2197,609
2198,2061
2199,2110
2200,145
2201,1156
2202,808
2203,1174
2204,2421
2205,1667
2206,2465
2207,2599
2208,1873
2209,2669
2210,2691
2211,1744
2212,1415
2213,1936
2214,2952
2215,1055
2216,643
2217,2047
2218,1306
2219,502
2220,1966
2221,1579
2222,1218
2223,210
2224,611
2225,2326
2226,2557
2227,2409
2228,152
2229,1866
2230,2260
2231,1392
2232,2698
2233,1918
2234,1759
2235,2624
2236,1461
2237,440
2238,1598
2239,2366
2240,2279
2241,1994
2242,2931
2243,1086
2244,2317
2245,110
2246,1509
2247,598
2248,2534
2249,121
2250,2805
2251,24
2252,903
2253,2163
2254,2339
2255,1827
2256,854
2257,944
2258,2551
2259,142
2260,1418
2261,164
2262,2318
2263,1815
2264,2538
2265,1741
2266,14
2267,1132
2268,2232
2269,560
2270,915
2271,1066
2272,380
2273,2441
2274,1615
2275,300
2276,1684
2277,1167
2278,1781
2279,233
2280,990
2281,1890
2282,730
2283,869
2284,1049
2285,966
2286,2828
2287,2394
2288,1351
2289,1942
2290,659
2291,508
2292,1211
2293,2873
2294,1429
2295,2885
2296,2273
2297,943
2298,356
2299,2688
